id,name
splash_potion,Splash Potion
splash_potion{Potion:water},Splash Water Bottle
splash_potion{Potion:mundane},Mundane Splash Potion
splash_potion{Potion:thick},Thick Splash Potion
splash_potion{Potion:awkward},Awkward Splash Potion
splash_potion{Potion:uncraftable},Splash Uncraftable Potion
splash_potion{Potion:night_vision},Splash Potion of Night Vision
splash_potion{Potion:long_night_vision},Long Splash Potion of Night Vision
splash_potion{Potion:invisibility},Splash Potion of Invisibility
splash_potion{Potion:long_invisibility},Long Splash Potion of Invisibility
splash_potion{Potion:leaping},Splash Potion of Leaping
splash_potion{Potion:long_leaping},Long Splash Potion of Leaping
splash_potion{Potion:strong_leaping},Strong Splash Potion of Leaping
splash_potion{Potion:fire_resistance},Splash Potion of Fire Resistance
splash_potion{Potion:long_fire_resistance},Long Splash Potion of Fire Resistance
splash_potion{Potion:swiftness},Splash Potion of Swiftness
splash_potion{Potion:long_swiftness},Long Splash Potion of Swiftness
splash_potion{Potion:strong_swiftness},Strong Splash Potion of Swiftness
splash_potion{Potion:slowness},Splash Potion of Slowness
splash_potion{Potion:long_slowness},Long Splash Potion of Slowness
splash_potion{Potion:strong_slowness},Strong Splash Potion of Slowness
splash_potion{Potion:turtle_master},Splash Potion of the Turtle Master
splash_potion{Potion:long_turtle_master},Long Splash Potion of the Turtle Master
splash_potion{Potion:strong_turtle_master},Strong Splash Potion of the Turtle Master
splash_potion{Potion:water_breathing},Splash Potion of Water Breathing
splash_potion{Potion:long_water_breathing},Long Splash Potion of Water Breathing
splash_potion{Potion:healing},Splash Potion of Healing
splash_potion{Potion:strong_healing},Strong Splash Potion of Healing
splash_potion{Potion:harming},Splash Potion of Harming
splash_potion{Potion:strong_harming},Strong Splash Potion of Harming
splash_potion{Potion:poison},Splash Potion of Poision
splash_potion{Potion:long_poison},Long Splash Potion of Poison
splash_potion{Potion:strong_poison},Strong Splash Potion of Posion
splash_potion{Potion:regeneration},Splash Potion of Regeneration
splash_potion{Potion:long_regeneration},Long Splash Potion of Regeneration
splash_potion{Potion:strong_regeneration},Strong Splash Potion of Regeneration
splash_potion{Potion:strength},Splash Potion of Strength
splash_potion{Potion:long_strength},Long Splash Potion of Strength
splash_potion{Potion:strong_strength},Strong Splash Potion of Strength
splash_potion{Potion:weakness},Splash Potion of Weakness
splash_potion{Potion:long_weakness},Long Splash Potion of Weakness
splash_potion{Potion:luck},Splash Potion of Luck
splash_potion{Potion:slow_falling},Splash Potion of Slow Falling
splash_potion{Potion:long_slow_falling},Long Splash Potion of Slow Falling
