id,effect_id,effect_degree,time,chance
chorus_fruit,1,1,0,1
enchanted_golden_apple,2,2,20,1
enchanted_golden_apple,3,4,120,1
enchanted_golden_apple,4,1,300,1
enchanted_golden_apple,5,1,300,1
golden_apple,2,2,5,1
golden_apple,3,1,120,1
honey_bottle,6,1,0,1
poisonous_potato,7,1,5,0.6
pufferfish,8,3,15,1
pufferfish,9,1,15,1
pufferfish,7,2,60,1
chicken,8,1,30,0.3
rotten_flesh,8,1,30,0.8
spider_eye,7,1,5,1
suspicious_stew,2,1,11,0.111
suspicious_stew,10,1,11,0.111
suspicious_stew,7,1,11,0.111
suspicious_stew,11,1,11,0.111
suspicious_stew,12,1,11,0.111
suspicious_stew,13,1,11,0.111
suspicious_stew,5,1,11,0.111
suspicious_stew,14,1,11,0.111
suspicious_stew,15,1,11,0.111
