id,name
splash_potion,Splash Potion
splash_potion{Potion:water},Splash Water Bottle
splash_potion{Potion:mundane},Mundane Splash Potion
splash_potion{Potion:thick},Thick Splash Potion
splash_potion{Potion:awkward},Awkward Splash Potion
splash_potion{Potion:uncraftable},Splash Uncraftable Potion
splash_potion{Potion:night_vision},Splash Potion of Night Vision (3:00)
splash_potion{Potion:long_night_vision},Splash Potion of Night Vision (8:00)
splash_potion{Potion:invisibility},Splash Potion of Invisibility (3:00)
splash_potion{Potion:long_invisibility},Splash Potion of Invisibility (8:00)
splash_potion{Potion:leaping},Splash Potion of Leaping (3:00)
splash_potion{Potion:long_leaping},Splash Potion of Leaping (8:00)
splash_potion{Potion:strong_leaping},Splash Potion of Leaping II (1:30)
splash_potion{Potion:fire_resistance},Splash Potion of Fire Resistance (3:00)
splash_potion{Potion:long_fire_resistance},Splash Potion of Fire Resistance (8:00)
splash_potion{Potion:swiftness},Splash Potion of Swiftness (3:00)
splash_potion{Potion:long_swiftness},Splash Potion of Swiftness (8:00)
splash_potion{Potion:strong_swiftness},Splash Potion of Swiftness II (1:30)
splash_potion{Potion:slowness},Splash Potion of Slowness (1:30)
splash_potion{Potion:long_slowness},Splash Potion of Slowness (4:00)
splash_potion{Potion:strong_slowness},Splash Potion of Slowness IV (0:20)
splash_potion{Potion:turtle_master},Splash Potion of the Turtle Master (0:20)
splash_potion{Potion:long_turtle_master},Splash Potion of the Turtle Master (0:40)
splash_potion{Potion:strong_turtle_master},Splash Potion of the Turtle Master II (0:20)
splash_potion{Potion:water_breathing},Splash Potion of Water Breathing (3:00)
splash_potion{Potion:long_water_breathing},Splash Potion of Water Breathing (8:00)
splash_potion{Potion:healing},Splash Potion of Healing
splash_potion{Potion:strong_healing},Splash Potion of Healing II
splash_potion{Potion:harming},Splash Potion of Harming
splash_potion{Potion:strong_harming},Splash Potion of Harming II
splash_potion{Potion:poison},Splash Potion of Poision (0:45)
splash_potion{Potion:long_poison},Splash Potion of Poison (1:30)
splash_potion{Potion:strong_poison},Splash Potion of Posion II (0:21)
splash_potion{Potion:regeneration},Splash Potion of Regeneration (0:45)
splash_potion{Potion:long_regeneration},Splash Potion of Regeneration (1:30)
splash_potion{Potion:strong_regeneration},Splash Potion of Regeneration II (0:22)
splash_potion{Potion:strength},Splash Potion of Strength (3:00)
splash_potion{Potion:long_strength},Splash Potion of Strength (8:00)
splash_potion{Potion:strong_strength},Splash Potion of Strength II (1:30)
splash_potion{Potion:weakness},Splash Potion of Weakness (1:30)
splash_potion{Potion:long_weakness},Splash Potion of Weakness (4:00)
splash_potion{Potion:luck},Splash Potion of Luck (5:00)
splash_potion{Potion:slow_falling},Splash Potion of Slow Falling (1:30)
splash_potion{Potion:long_slow_falling},Splash Potion of Slow Falling (4:00)
